id,age_group_det,pop,deaths,f_age
01061,ALT085UM,3428,535,85
01062,ALT000,2116,9,0
01062,ALT001B05,8849,3,1
01062,ALT005B10,11661,0,5
01062,ALT010B15,11585,0,10
01062,ALT015B20,13077,1,15
01062,ALT020B25,10800,6,20
01062,ALT025B30,10780,5,25
01062,ALT030B35,12562,6,30
01062,ALT035B40,14869,4,35
01062,ALT040B45,14760,15,40
01062,ALT045B50,20646,26,45
01062,ALT050B55,22321,70,50
01062,ALT055B60,17956,103,55
01062,ALT060B65,14626,102,60
01062,ALT065B70,13535,176,65
01062,ALT070B75,12357,249,70
01062,ALT075B80,13989,418,75
01062,ALT080B85,8365,470,80
01062,ALT085UM,6957,1088,85
02000,ALT000,21046,58,0
02000,ALT001B05,73040,14,1
02000,ALT005B10,80128,11,5
02000,ALT010B15,75733,6,10
02000,ALT015B20,83165,18,15
02000,ALT020B25,109296,19,20
02000,ALT025B30,148780,36,25
02000,ALT030B35,148673,47,30
02000,ALT035B40,136659,89,35
02000,ALT040B45,119795,147,40
02000,ALT045B50,137078,293,45
02000,ALT050B55,139687,493,50
02000,ALT055B60,112527,686,55
02000,ALT060B65,89519,844,60
02000,ALT065B70,83162,1234,65
02000,ALT070B75,75478,1668,70
02000,ALT075B80,82241,2576,75
02000,ALT080B85,50207,2664,80
02000,ALT085UM,44224,6364,85
03101,ALT000,2418,11,0
03101,ALT001B05,8440,0,1
03101,ALT005B10,9739,1,5
03101,ALT010B15,9493,2,10
03101,ALT015B20,10941,2,15
03101,ALT020B25,17337,6,20
03101,ALT025B30,21682,3,25
03101,ALT030B35,18872,11,30
03101,ALT035B40,16095,13,35
03101,ALT040B45,14477,26,40
03101,ALT045B50,17941,50,45
03101,ALT050B55,18638,76,50
03101,ALT055B60,16460,117,55
03101,ALT060B65,13935,136,60
03101,ALT065B70,12638,184,65
03101,ALT070B75,11006,247,70
03101,ALT075B80,13107,424,75
03101,ALT080B85,7951,422,80
03101,ALT085UM,7497,1134,85
03102,ALT000,1101,3,0
03102,ALT001B05,3965,0,1
03102,ALT005B10,4802,0,5
03102,ALT010B15,4788,1,10
03102,ALT015B20,5529,1,15
03102,ALT020B25,6173,3,20
03102,ALT025B30,6313,2,25
03102,ALT030B35,5770,3,30
03102,ALT035B40,5808,4,35
03102,ALT040B45,5649,8,40
03102,ALT045B50,7366,17,45
03102,ALT050B55,8283,32,50
03102,ALT055B60,7659,36,55
03102,ALT060B65,6697,73,60
03102,ALT065B70,6102,102,65
03102,ALT070B75,5006,104,70
03102,ALT075B80,5746,202,75
03102,ALT080B85,3799,213,80
03102,ALT085UM,3112,500,85
03103,ALT000,1374,2,0
03103,ALT001B05,4822,0,1
03103,ALT005B10,5329,2,5
03103,ALT010B15,5110,0,10
03103,ALT015B20,5510,2,15
03103,ALT020B25,6667,5,20
03103,ALT025B30,8975,2,25
03103,ALT030B35,8944,9,30
03103,ALT035B40,8107,6,35
03103,ALT040B45,6957,11,40
03103,ALT045B50,8746,23,45
03103,ALT050B55,9628,33,50
03103,ALT055B60,8665,60,55
03103,ALT060B65,7470,71,60
03103,ALT065B70,6402,94,65
03103,ALT070B75,5447,105,70
03103,ALT075B80,7392,234,75
03103,ALT080B85,4782,264,80
03103,ALT085UM,3582,528,85
03151,ALT000,1822,3,0
03151,ALT001B05,6618,2,1
03151,ALT005B10,8216,0,5
03151,ALT010B15,8773,0,10
03151,ALT015B20,10117,2,15
03151,ALT020B25,8999,5,20
03151,ALT025B30,9429,7,25
03151,ALT030B35,9999,6,30
03151,ALT035B40,10250,5,35
03151,ALT040B45,10166,10,40
03151,ALT045B50,14053,24,45
03151,ALT050B55,16454,49,50
03151,ALT055B60,14465,79,55
03151,ALT060B65,11402,84,60
03151,ALT065B70,9431,105,65
03151,ALT070B75,7085,157,70
03151,ALT075B80,8339,273,75
03151,ALT080B85,5086,328,80
03151,ALT085UM,4045,594,85
03153,ALT000,990,3,0
03153,ALT001B05,3739,0,1
03153,ALT005B10,4925,1,5
03153,ALT010B15,5344,2,10
03153,ALT015B20,6872,2,15
03153,ALT020B25,7695,2,20
03153,ALT025B30,7644,1,25
03153,ALT030B35,6682,2,30
03153,ALT035B40,6759,1,35
03153,ALT040B45,7225,15,40
03153,ALT045B50,10659,29,45
03153,ALT050B55,11678,54,50
03153,ALT055B60,10758,75,55
03153,ALT060B65,9654,99,60
03153,ALT065B70,9204,131,65
03153,ALT070B75,7715,194,70
03153,ALT075B80,9351,303,75
03153,ALT080B85,5799,355,80
03153,ALT085UM,5286,814,85
03154,ALT000,784,3,0
03154,ALT001B05,3069,0,1
03154,ALT005B10,3698,0,5
03154,ALT010B15,4013,0,10
03154,ALT015B20,4702,1,15
03154,ALT020B25,4434,0,20
03154,ALT025B30,5041,0,25
03154,ALT030B35,5099,5,30
03154,ALT035B40,5219,5,35
03154,ALT040B45,5146,9,40
03154,ALT045B50,7199,15,45
03154,ALT050B55,8385,41,50
03154,ALT055B60,7615,52,55
03154,ALT060B65,6387,69,60
03154,ALT065B70,5539,100,65
03154,ALT070B75,4284,110,70
03154,ALT075B80,5180,207,75
03154,ALT080B85,3324,226,80
03154,ALT085UM,2961,512,85
03155,ALT000,1028,7,0
03155,ALT001B05,4174,0,1
03155,ALT005B10,5285,0,5
03155,ALT010B15,5761,0,10
03155,ALT015B20,7184,2,15
03155,ALT020B25,6474,2,20
