state,county,cohort,in_lf_ilo,employed_ilo,unemployed_ilo,unemployed_status,paidwork_lastweek,lfp_1plushour,fulltime,parttime,public_employment,commuter,age,male,married,income_onehalf_lb,W
1,1004,2,0.8284956812858582,NA,NA,0.09076682478189468,0.8274966478347778,NA,0.6220190525054932,0.3779809772968292,0.2591657340526581,0.6959275603294373,45.73691177368164,0.5124061107635498,0.6362651586532593,1713.40380859375,5511.353
1,1004,3,0.865444540977478,NA,NA,0.0826679989695549,NA,NA,0.6631250977516174,0.33687490224838257,0.20908454060554504,0.6847900748252869,39.47297668457031,0.49072909355163574,0.6053768992424011,2369.579833984375,4369.478
1,1004,4,0.681854248046875,NA,NA,0.10962948948144913,NA,NA,0.6906155347824097,0.30938446521759033,0.1536816507577896,NA,34.40625,0.3959429860115051,0.564256489276886,1417.3905029296875,3703.8210000000004
1,1004,5,0.81296306848526,0.669093132019043,0.14386993646621704,0.12834706902503967,0.7307344079017639,NA,0.7937495112419128,0.20625051856040955,0.164106547832489,0.5475003123283386,29.642929077148438,0.44044655561447144,0.3981115221977234,1500.05126953125,5535.062
1,1004,6,0.72454833984375,NA,NA,0.12108203768730164,NA,NA,0.8154083490371704,0.1845916360616684,0.2226254642009735,0.8027134537696838,24.096914291381836,0.45115017890930176,NA,1144.6422119140625,4050.6089999999995
1,1004,7,0.3849523365497589,NA,NA,NA,NA,NA,0.7472624778747559,0.25273749232292175,NA,NA,18.293397903442383,0.5036779642105103,NA,432.863525390625,4404.231
1,1051,1,0.8723746538162231,NA,NA,0.03663227707147598,0.9226973056793213,NA,0.6588781476020813,0.3411218523979187,0.21020710468292236,0.43879762291908264,50.648231506347656,0.48349738121032715,0.688227653503418,1765.5474853515625,9486.851999999995
1,1051,2,0.8710498809814453,0.8346699476242065,0.03637995198369026,0.1026025041937828,0.8733377456665039,NA,0.6237277388572693,0.3762722611427307,0.1663985401391983,0.41145744919776917,45.40605545043945,0.5095003843307495,0.5930706262588501,1659.050048828125,9555.399999999998
1,1051,3,0.8598248958587646,0.8153321743011475,0.04449273273348808,0.32936984300613403,0.8474991321563721,NA,0.7533998489379883,0.24660013616085052,0.16957511007785797,0.4361524283885956,39.63471221923828,0.5023043751716614,0.5911853313446045,1768.777587890625,7978.314000000001
1,1051,4,0.8689667582511902,0.820156455039978,0.048810310661792755,0.35432109236717224,0.847423255443573,NA,0.7501384615898132,0.24986155331134796,0.15932878851890564,0.33289146423339844,34.977596282958984,0.4836646318435669,0.6003005504608154,1682.2554931640625,6900.120000000001
1,1051,5,0.7871730923652649,0.7122863531112671,0.07488669455051422,0.07344917207956314,0.7672895789146423,NA,0.7342142462730408,0.2657857835292816,0.1473904550075531,0.33384793996810913,29.3008975982666,0.394614040851593,0.4415854215621948,1375.0654296875,7976.237000000002
1,1051,6,0.8362711071968079,0.7862671613693237,0.050003938376903534,0.0832526758313179,0.8756552934646606,NA,0.8579953908920288,0.14200462400913239,0.13478001952171326,0.36215996742248535,22.985157012939453,0.5670662522315979,0.06019062548875809,1162.531005859375,6802.604
1,1051,7,0.5708326101303101,0.5071622133255005,0.06367038935422897,0.04730281978845596,0.8215988278388977,NA,0.8636088371276855,0.13639114797115326,0.15528710186481476,0.3966107666492462,18.180177688598633,0.3779313862323761,NA,584.7757568359375,6712.602000000001
1,1053,1,0.8876370191574097,0.8265315890312195,0.061105404049158096,0.06154855340719223,0.9528218507766724,NA,0.8057208061218262,0.19427920877933502,0.1318410038948059,0.319551557302475,50.65615463256836,0.53535395860672,0.6645593047142029,2339.85791015625,17499.842999999993
1,1053,2,0.9485076069831848,NA,NA,0.026027560234069824,0.8971160650253296,NA,0.6964442729949951,0.3035556972026825,0.1477525234222412,0.26890888810157776,45.397979736328125,0.5059308409690857,0.6404250860214233,2412.169189453125,15554.319999999996
